d_in,target_params_mean,target_params_std,CNF_params_mean,CNF_params_std,CNF_target_param_ratio_mean,CNF_target_param_ratio_std,train_mse_mean,train_mse_std,test_mse_mean,test_mse_std,target_jensen_violation_mean,target_jensen_violation_std,CNF_jensen_violation_mean,CNF_jensen_violation_std
1,252001.0,0.0,81402.0,0.0,0.3230225276883822,0.0,194.01855916976928,142.50202913854497,180.14360760450364,129.17230821539582,1.678466796875e-05,3.411968959808028e-06,2.74658203125e-05,6.823937919616057e-06
20,261501.0,0.0,83302.0,0.0,0.31855327513087905,0.0,420.83401641845705,511.9019998304336,451.0985870361328,551.4441630580079,-0.0087799072265625,0.007492526519944321,-0.006682968139648438,0.005111949544200917
50,276501.0,0.0,86302.0,0.0,0.31212183681071676,0.0,49.59315948486328,6.615697836838268,61.97017593383789,6.236061975040707,-0.005352783203125,0.005217084495878798,-0.01406402587890625,0.018597012716799068
100,301501.0,0.0,91302.0,0.0,0.3028248662525166,0.0,39.135501098632815,1.3305554324411717,65.65448303222657,9.979842399993554,-0.003582000732421875,0.0035153609911812,-0.010478973388671875,0.007871795802245186
